zip,county_name
43830,Muskingum
43832,Tuscarawas
43836,Coshocton
43837,Tuscarawas
43840,Tuscarawas
43842,Muskingum
43843,Coshocton
43844,Coshocton
43845,Coshocton
43901,Jefferson
43902,Belmont
43903,Jefferson
43905,Belmont
43906,Belmont
43907,Harrison
43908,Jefferson
43909,Belmont
43910,Jefferson
43912,Belmont
43913,Jefferson
43914,Monroe
43915,Monroe
43916,Belmont
43917,Jefferson
43920,Columbiana
43925,Jefferson
43926,Jefferson
43927,Belmont
43928,Belmont
43930,Jefferson
43931,Monroe
43932,Jefferson
43933,Belmont
43934,Belmont
43935,Belmont
43937,Belmont
43938,Jefferson
43939,Jefferson
43940,Belmont
43941,Jefferson
43942,Belmont
43943,Jefferson
43944,Jefferson
43945,Columbiana
43946,Monroe
43947,Belmont
43948,Jefferson
43950,Belmont
43951,Belmont
43952,Jefferson
43953,Jefferson
43961,Jefferson
43962,Columbiana
43963,Jefferson
43964,Jefferson
43967,Belmont
43968,Columbiana
43970,Jefferson
43971,Belmont
43972,Belmont
43973,Harrison
43974,Harrison
43976,Harrison
43977,Belmont
43981,Athens
43983,Belmont
43984,Rumley
43985,Belmont
43986,Harrison
43988,Harrison
44001,Lorain
44003,Ashtabula
44004,Ashtabula
44005,Ashtabula
44010,Ashtabula
44011,Lorain
44012,Lorain
44017,Cuyahoga
44021,Geauga
44022,Cuyahoga
44023,Geauga
44024,Geauga
44026,Geauga
44028,Lorain
44030,Ashtabula
44032,Ashtabula
44033,Geauga
44035,Lorain
44036,Lorain
44039,Lorain
44040,Cuyahoga
44041,Ashtabula
44044,Lorain
44045,Lake
44046,Geauga
44047,Ashtabula
44048,Ashtabula
44049,Lorain
44050,Lorain
44052,Lorain
44053,Lorain
44054,Lorain
44055,Lorain
44056,Summit
44057,Lake
44060,Lake
44061,Lake
44062,Geauga
44064,Geauga
44065,Geauga
44067,Summit
44068,Ashtabula
44070,Cuyahoga
44072,Geauga
44073,Geauga
44074,Lorain
44076,Ashtabula
44077,Lake
44080,Geauga
44081,Lake
44082,Ashtabula
44084,Ashtabula
44085,Ashtabula
44086,Geauga
44087,Summit
44088,Ashtabula
44089,Erie
44090,Lorain
44092,Lake
44093,Ashtabula
44094,Lake
44095,Lake
44096,Lake
44097,Lake
44099,Ashtabula
44101,Cuyahoga
44102,Cuyahoga
44103,Cuyahoga
44104,Cuyahoga
44105,Cuyahoga
44106,Cuyahoga
44107,Cuyahoga
44108,Cuyahoga
44109,Cuyahoga
44110,Cuyahoga
44111,Cuyahoga
44112,Cuyahoga
44113,Cuyahoga
